timestamp [ns],worldFrame,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,number_point_matches,mapped
1703060749271474967,16,792.052,563.157,0.0,0.0,0,False
1703060749274166967,16,800.285,561.178,0.0,0.0,0,False
1703060749280503967,16,826.76,600.702,0.0,0.0,0,False
1703060749286713967,16,820.273,580.387,0.0,0.0,0,False
1703060749289807967,16,805.572,589.302,0.0,0.0,0,False
1703060749296461967,16,818.853,622.937,0.0,0.0,0,False
1703060749299225967,16,812.697,609.169,0.0,0.0,0,False
1703060749305558967,16,816.912,601.633,0.0,0.0,0,False
1703060749312489967,16,821.769,603.535,0.0,0.0,0,False
1703060749315818967,16,818.295,592.315,0.0,0.0,0,False
1703060749322169967,16,804.988,599.421,0.0,0.0,0,False
1703060749324173967,16,829.466,594.493,0.0,0.0,0,False
1703060749330544967,16,815.294,616.419,0.0,0.0,0,False
1703060749336732967,16,812.847,611.023,0.0,0.0,0,False
1703060749339843967,16,777.976,589.3,0.0,0.0,0,False
1703060749349195967,18,788.946,588.88,0.0,0.0,0,False
1703060749355458967,18,784.476,581.4,0.0,0.0,0,False
1703060749361699967,18,787.106,597.487,0.0,0.0,0,False
1703060749364793967,18,782.551,585.556,0.0,0.0,0,False
1703060749371442967,18,787.769,581.128,0.0,0.0,0,False
1703060749375434967,18,786.1,563.702,0.0,0.0,0,False
1703060749380486967,18,807.876,582.484,0.0,0.0,0,False
1703060749386720967,18,806.165,591.144,0.0,0.0,0,False
1703060749390840967,18,793.86,586.103,0.0,0.0,0,False
1703060749396192967,18,809.048,579.096,0.0,0.0,0,False
1703060749399188967,18,795.969,590.858,0.0,0.0,0,False
1703060749405478967,18,778.406,591.194,0.0,0.0,0,False
1703060749411721967,18,798.808,602.418,0.0,0.0,0,False
1703060749414851967,18,784.977,617.056,0.0,0.0,0,False
1703060749421107967,18,791.353,597.978,0.0,0.0,0,False
1703060749424605967,18,776.377,601.034,0.0,0.0,0,False
1703060749430425967,18,759.495,612.446,0.0,0.0,0,False
